1.1.1.1	alcohol dehydrogenase
1.14.13.181	13-deoxydaunorubicin hydroxylase
1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase
1.14.13.187	L-evernosamine nitrososynthase
1.14.13.189	5-methyl-1-naphthoate 3-hydroxylase
1.14.13.195	L-ornithine N(5)-monooxygenase (NADPH)
1.14.13.196	L-ornithine N(5)-monooxygenase [NAD(P)H]
1.14.13.200	tetracenomycin A2 monooxygenase-diooxygenase
1.14.13.208	benzoyl-CoA 2,3-epoxidase
1.14.13.209	salicyloyl-CoA 5-hydroxylase
1.14.13.210	4-methyl-5-nitrocatechol 5-monooxygenase
1.14.13.211	rifampicin monooxygenase
1.14.13.212	1,3,7-trimethyluric acid 5-monooxygenase
1.14.13.215	protoasukamycin 4-monooxygenase
1.14.13.216	asperlicin C monooxygenase
1.14.13.217	protodeoxyviolaceinate monooxygenase
1.14.13.218	5-methylphenazine-1-carboxylate 1-monooxygenase
1.14.13.219	resorcinol 4-hydroxylase (NADPH)
1.14.13.220	resorcinol 4-hydroxylase (NADH)
1.14.13.222	aurachin C monooxygenase/isomerase
1.14.13.223	3-hydroxy-4-methyl-anthranilyl-[aryl-carrier protein] 5-monooxygenase
1.14.13.224	violacein synthase
1.14.13.225	F-actin monooxygenase
1.14.13.226	acetone monooxygenase (methyl acetate-forming)
1.14.13.227	propane 2-monooxygenase
1.14.13.228	jasmomic acid 12-hydroxylase
1.14.13.229	tert-butanol monooxygenase
1.14.13.230	butane monooxygenase (soluble)
1.14.13.231	tetracycline 11a-monooxygenase
1.14.13.232	6-methylpretetramide 4-monooxygenase
1.14.13.233	4-hydroxy-6-methylpretetramide 12a-monooxygenase
1.14.13.234	12-dehydrotetracycline 5-monooxygenase
1.14.13.235	indole-3-acetate monooxygenase
1.14.13.236	toluene 4-monooxygenase
1.14.13.237	aliphatic glucosinolate S-oxygenase
1.14.13.238	dimethylamine monooxygenase
1.14.13.239	carnitine monooxygenase
1.14.13.240	2-polyprenylphenol 6-hydroxylase
1.14.13.241	5-pyridoxate monooxygenase
1.14.13.242	3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase
1.14.13.243	toluene 2-monooxygenase
1.14.13.244	phenol 2-monooxygenase (NADH)
1.14.13.245	assimilatory dimethylsulfide S-monooxygenase
1.14.13.246	4beta-methylsterol monooxygenase
1.14.13.247	stachydrine N-demethylase
1.14.13.248	L-aspartate N-monooxygenase (nitrosuccinate-forming)
1.14.13.249	3-amino-4-hydroxybenzoate 2-monooxygenase
1.14.13.250	nitrosourea synthase
1.14.13.251	glycine betaine monooxygenase
1.14.13.252	putrescine N-hydroxylase
1.14.13.253	3-demethoxyubiquinone 3-hydroxylase (NADH)
1.14.13.n6	hexahomomethionine N-hydroxylase
1.14.13.n7	4-nitrophenol 2-hydroxylase
1.14.14.1	unspecific monooxygenase
1.14.14.3	bacterial luciferase
1.14.14.5	alkanesulfonate monooxygenase
1.14.14.8	anthranilate 3-monooxygenase (FAD)
1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase
1.14.14.10	nitrilotriacetate monooxygenase
1.14.14.11	styrene monooxygenase
1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
1.14.14.13	4-(gamma-L-glutamylamino)butanoyl-[BtrI acyl-carrier protein] monooxygenase
1.14.14.14	aromatase
1.14.14.15	(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] monooxygenase
1.14.14.16	steroid 21-monooxygenase
1.14.14.17	squalene monooxygenase
1.14.14.18	heme oxygenase (biliverdin-producing)
1.14.14.19	steroid 17alpha-monooxygenase
1.14.14.20	phenol 2-monooxygenase (FADH2)
1.14.14.21	dibenzothiophene monooxygenase
1.14.14.22	dibenzothiophene sulfone monooxygenase
1.14.14.23	cholesterol 7alpha-monooxygenase
1.14.14.24	vitamin D 25-hydroxylase
1.14.14.25	cholesterol 24-hydroxylase
1.14.14.26	24-hydroxycholesterol 7alpha-hydroxylase
1.14.14.27	resorcinol 4-hydroxylase (FADH2)
1.14.14.28	long-chain alkane monooxygenase
1.14.14.29	25/26-hydroxycholesterol 7alpha-hydroxylase
1.14.14.30	isobutylamine N-monooxygenase
1.14.14.31	ipsdienol synthase
1.14.14.32	17alpha-hydroxyprogesterone deacetylase
1.14.14.33	ethylenediaminetetraacetate monooxygenase
1.14.14.34	methanesulfonate monooxygenase (FMNH2)
1.14.14.35	dimethylsulfone monooxygenase
1.14.14.36	tyrosine N-monooxygenase
1.14.14.37	4-hydroxyphenylacetaldehyde oxime monooxygenase
1.14.14.38	valine N-monooxygenase
1.14.14.39	isoleucine N-monooxygenase
1.14.14.40	phenylalanine N-monooxygenase
1.14.14.41	(E)-2-methylbutanal oxime monooxygenase
1.14.14.42	homomethionine N-monooxygenase
1.14.14.43	(methylsulfanyl)alkanaldoxime N-monooxygenase
1.14.14.44	phenylacetaldehyde oxime monooxygenase
1.14.14.45	aromatic aldoxime N-monooxygenase
1.14.14.46	pimeloyl-[acyl-carrier protein] synthase
1.14.14.47	nitric-oxide synthase (flavodoxin)
1.14.14.48	jasmonoyl-L-amino acid 12-hydroxylase
1.14.14.49	12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase
1.14.14.50	tabersonine 3-oxygenase
1.14.14.51	(S)-limonene 6-monooxygenase
1.14.14.52	(S)-limonene 7-monooxygenase
1.14.14.53	(R)-limonene 6-monooxygenase
1.14.14.54	phenylacetate 2-hydroxylase
1.14.14.55	quinine 3-monooxygenase
1.14.14.56	1,8-cineole 2-exo-monooxygenase
1.14.14.57	taurochenodeoxycholate 6alpha-hydroxylase
1.14.14.58	trimethyltridecatetraene synthase
1.14.14.59	dimethylnonatriene synthase
1.14.14.60	ferruginol monooxygenase
1.14.14.61	carnosic acid synthase
1.14.14.62	salviol synthase
1.14.14.63	beta-amyrin 16beta-monooxygenase
1.14.14.64	beta-amyrin 6beta-monooxygenase
1.14.14.65	sugiol synthase
1.14.14.66	marmesin synthase
1.14.14.67	11-hydroxysugiol 20-monooxygenase
1.14.14.68	syn-pimaradiene 3-monooxygenase
1.14.14.69	ent-cassadiene hydroxylase
1.14.14.70	ent-sandaracopimaradiene 3-hydroxylase
1.14.14.71	cucurbitadienol 11-hydroxylase
1.14.14.72	drimenol monooxygenase
1.14.14.73	albendazole monooxygenase (sufoxide-forming)
1.14.14.74	albendazole monooxygenase (hydroxylating)
1.14.14.75	fenbendazole monooxygenase (4'-hydroxylating)
1.14.14.76	ent-isokaurene C2/C3-hydroxylase
1.14.14.77	phenylacetonitrile alpha-monooxygenase
1.14.14.78	phylloquinone omega-hydroxylase
1.14.14.79	docosahexaenoic acid omega-hydroxylase
1.14.14.80	long-chain fatty acid omega-monooxygenase
1.14.14.81	flavonoid 3',5'-hydroxylase
1.14.14.82	flavonoid 3'-monooxygenase
1.14.14.83	geraniol 8-hydroxylase
1.14.14.84	linalool 8-monooxygenase
1.14.14.85	7-deoxyloganate 7-hydroxylase
1.14.14.86	ent-kaurene monooxygenase
1.14.14.87	2-hydroxyisoflavanone synthase
1.14.14.88	isoflavone 3'-hydroxylase
1.14.14.89	4'-methoxyisoflavone 2'-hydroxylase
1.14.14.90	isoflavone 2'-hydroxylase
1.14.14.91	trans-cinnamate 4-monooxygenase
1.14.14.92	benzoate 4-monooxygenase
1.14.14.93	3,9-dihydroxypterocarpan 6a-monooxygenase
1.14.14.94	leukotriene-B4 20-monooxygenase
1.14.14.95	germacrene A hydroxylase
1.14.14.96	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
1.14.14.97	methyltetrahydroprotoberberine 14-monooxygenase
1.14.14.98	protopine 6-monooxygenase
1.14.14.99	(S)-limonene 3-monooxygenase
1.14.14.100	dihydrosanguinarine 10-monooxygenase
1.14.14.101	dihydrochelirubine 12-monooxygenase
1.14.14.102	N-methylcoclaurine 3'-monooxygenase
1.14.14.103	tabersonine 16-hydroxylase
1.14.14.104	vinorine hydroxylase
1.14.14.105	taxane 10beta-hydroxylase
1.14.14.106	taxane 13alpha-hydroxylase
1.14.14.107	ent-kaurenoic acid monooxygenase
1.14.14.108	2,5-diketocamphane 1,2-monooxygenase
1.14.14.109	3-hydroxyindolin-2-one monooxygenase
1.14.14.110	2-hydroxy-1,4-benzoxazin-3-one monooxygenase
1.14.14.111	9beta-pimara-7,15-diene oxidase
1.14.14.112	ent-cassa-12,15-diene 11-hydroxylase
1.14.14.113	alpha-humulene 10-hydroxylase
1.14.14.114	amorpha-4,11-diene 12 monooxygenase
1.14.14.115	11-oxo-beta-amyrin 30-oxidase
1.14.14.116	averantin hydroxylase
1.14.14.117	aflatoxin B synthase
1.14.14.118	tryprostatin B 6-hydroxylase
1.14.14.119	fumitremorgin C monooxygenase
1.14.14.120	dammarenediol 12-hydroxylase
1.14.14.121	protopanaxadiol 6-hydroxylase
1.14.14.122	oryzalexin E synthase
1.14.14.123	oryzalexin D synthase
1.14.14.124	dihydromonacolin L hydroxylase
1.14.14.125	monacolin L hydroxylase
1.14.14.126	beta-amyrin 28-monooxygenase
1.14.14.127	methyl farnesoate epoxidase
1.14.14.128	farnesoate epoxidase
1.14.14.129	long-chain acyl-CoA omega-monooxygenase
1.14.14.130	laurate 7-monooxygenase
1.14.14.131	bursehernin 5'-monooxygenase
1.14.14.132	(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase
1.14.14.133	1,8-cineole 2-endo-monooxygenase
1.14.14.134	beta-amyrin 24-hydroxylase
1.14.14.135	glyceollin synthase
1.14.14.136	deoxysarpagine hydroxylase
1.14.14.137	(+)-abscisic acid 8'-hydroxylase
1.14.14.138	lithocholate 6beta-hydroxylase
1.14.14.139	5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase
1.14.14.141	psoralen synthase
1.14.14.142	8-dimethylallylnaringenin 2'-hydroxylase
1.14.14.143	(+)-menthofuran synthase
1.14.14.144	abieta-7,13-diene hydroxylase
1.14.14.145	abieta-7,13-dien-18-ol hydroxylase
1.14.14.146	geranylgeraniol 18-hydroxylase
1.14.14.147	22alpha-hydroxysteroid 23-monooxygenase
1.14.14.148	angelicin synthase
1.14.14.149	5-epiaristolochene 1,3-dihydroxylase
1.14.14.150	costunolide synthase
1.14.14.151	premnaspirodiene oxygenase
1.14.14.152	beta-amyrin 11-oxidase
1.14.14.153	indole-2-monooxygenase
1.14.14.154	sterol 14alpha-demethylase
1.14.14.155	3,6-diketocamphane 1,2-monooxygenase
1.14.14.156	tryptophan N-monooxygenase
1.14.14.157	indolin-2-one monooxygenase
1.14.14.158	carotene epsilon-hydroxylase
1.14.14.159	dolabradiene monooxygenase
1.14.14.160	zealexin A1 synthase
1.14.14.161	nepetalactol monooxygenase
1.14.14.162	flavanone 2-hydroxylase
1.14.14.163	(S)-1-hydroxy-N-methylcanadine 13-hydroxylase
1.14.14.164	fraxetin 5-hydroxylase
1.14.14.165	indole-3-carbonyl nitrile 4-hydroxylase
1.14.14.166	(S)-N-methylcanadine 1-hydroxylase
1.14.14.167	(13S,14R)-13-O-acetyl-1-hydroxy-N-methylcanadine 8-hydroxylase
1.14.14.168	germacreene A acid 8beta-hydroxylase
1.14.14.169	eupatolide synthase
1.14.14.170	8-epi-inunolide synthase
1.14.14.171	beta-amyrin 16alpha-hydroxylase
1.14.14.172	3,5,6-trichloropyridin-2-ol monooxygenase
1.14.14.173	2,4,6-trichlorophenol monooxygenase
1.14.14.174	geranylhydroquinone 3''-hydroxylase
1.14.14.175	ferruginol synthase
1.14.14.176	taxadiene 5alpha-hydroxylase
1.14.14.177	ultra-long-chain fatty acid omega-hydroxylase
1.14.14.178	steroid 22S-hydroxylase
1.14.14.179	brassinosteroid 6-oxygenase
1.14.14.180	brassinolide synthase
1.14.14.181	sulfoquinovose monooxygenase
1.14.14.182	taxoid 7beta-hydroxylase
1.14.14.183	taxoid 2alpha-hydroxylase
1.14.14.184	5-dehydro-6-demethoxyfumagillol synthase
1.14.14.185	taxane 9alpha-hydroxylase
1.14.14.186	tryptamine 5-hydroxylase
1.14.14.187	rhazimal synthase
1.14.14.188	norfluorocurarine 18-hydroxylase
1.14.14.189	strychnine 10-hydroxylase
1.14.14.190	beta-colubrine 11-hydroxylase
1.14.15.1	camphor 5-monooxygenase
1.14.15.3	alkane 1-monooxygenase
1.14.15.4	steroid 11beta-monooxygenase
1.14.15.5	corticosterone 18-monooxygenase
1.14.15.6	cholesterol monooxygenase (side-chain-cleaving)
1.14.15.7	choline monooxygenase
1.14.15.8	steroid 15beta-monooxygenase
1.14.15.9	spheroidene monooxygenase
1.14.15.10	(+)-camphor 6-endo-hydroxylase
1.14.15.11	pentalenic acid synthase
1.14.15.13	pulcherriminic acid synthase
1.14.15.14	methyl-branched lipid omega-hydroxylase
1.14.15.15	cholestanetriol 26-monooxygenase
1.14.15.16	vitamin D3 24-hydroxylase
1.14.15.17	pheophorbide a oxygenase
1.14.15.18	calcidiol 1-monooxygenase
1.14.15.19	C-19 steroid 1alpha-hydroxylase
1.14.15.20	heme oxygenase (biliverdin-producing, ferredoxin)
1.14.15.21	zeaxanthin epoxidase
1.14.15.22	vitamin D 1,25-hydroxylase
1.14.15.23	chloroacetanilide N-alkylformylase
1.14.15.24	beta-carotene 3-hydroxylase
1.14.15.25	p-cymene methyl-monooxygenase
1.14.15.26	toluene methyl-monooxygenase
1.14.15.27	beta-dihydromenaquinone-9 omega-hydroxylase
1.14.15.28	cholest-4-en-3-one 26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]
1.14.15.29	cholest-4-en-3-one 26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]
1.14.15.30	3-ketosteroid 9alpha-monooxygenase
1.14.15.31	2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
1.14.15.32	pentalenene oxygenase
1.14.15.33	pikromycin synthase
1.14.15.34	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase
1.14.15.35	6-deoxyerythronolide B hydroxylase
1.14.15.36	sterol 14alpha-demethylase (ferredoxin)
1.14.15.37	luteothin monooxygenase
1.14.15.38	N,N-dimethyl phenylurea N-demethylase
1.14.15.39	epi-isozizaene 5-monooxygenase
1.14.15.40	cyclohexane-1-carboxylate 4-trans-hydroxylase
1.14.15.41	L-tryptophan 4-nitrase
1.14.15.42	L-tyrosine 3-nitrase
1.14.15.43	nocardicin C N-oxygenase
1.14.15.44	3-dehydro-2,22-dideoxyecdysone 22-hydroxylase
1.14.15.45	4-hydroxy-3-polyprenylbenzoate 5-hydroxylase
1.14.15.46	2-methoxy-6-polyprenylphenol 4-hydroxylase
1.14.16.1	phenylalanine 4-monooxygenase
1.14.16.2	tyrosine 3-monooxygenase
1.14.16.4	tryptophan 5-monooxygenase
1.14.16.5	alkylglycerol monooxygenase
1.14.16.6	mandelate 4-monooxygenase
1.14.16.7	phenylalanine 3-monooxygenase
1.14.17.1	dopamine beta-monooxygenase
1.14.17.3	peptidylglycine monooxygenase
1.14.17.4	aminocyclopropanecarboxylate oxidase
1.14.18.1	tyrosinase
1.14.18.2	CMP-N-acetylneuraminate monooxygenase
1.14.18.3	methane monooxygenase (particulate)
1.14.18.4	phosphatidylcholine 12-monooxygenase
1.14.18.5	sphingolipid C4-monooxygenase
1.14.18.6	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
1.14.18.7	dihydroceramide fatty acyl 2-hydroxylase
1.14.18.9	4alpha-methylsterol monooxygenase
1.14.18.10	plant 4,4-dimethylsterol C-4alpha-methyl-monooxygenase
1.14.18.11	plant 4alpha-monomethylsterol monooxygenase
1.14.18.12	2-hydroxy fatty acid dioxygenase
1.14.19.1	stearoyl-CoA 9-desaturase
1.14.19.2	stearoyl-[acyl-carrier-protein] 9-desaturase
1.14.19.3	acyl-CoA 6-desaturase
1.14.19.4	acyl-lipid (11-3)-desaturase
1.14.19.5	acyl-CoA 11-(Z)-desaturase
1.14.19.6	acyl-CoA (9+3)-desaturase
1.14.19.8	pentalenolactone synthase
1.14.19.9	tryptophan 7-halogenase
1.14.19.10	icosanoyl-CoA 5-desaturase
1.14.19.11	acyl-[acyl-carrier-protein] 4-desaturase
1.14.19.12	acyl-lipid omega-(9-4) desaturase
1.14.19.13	acyl-CoA 15-desaturase
1.14.19.14	linoleoyl-lipid Delta(9) conjugase
1.14.19.15	(11Z)-hexadec-11-enoyl-CoA conjugase
1.14.19.16	linoleoyl-lipid Delta(12) conjugase (11E,13Z-forming)
1.14.19.17	sphingolipid 4-desaturase
1.14.19.18	sphingolipid 8-(E)-desaturase
1.14.19.19	sphingolipid 10-desaturase
1.14.19.20	Delta(7)-sterol 5(6)-desaturase
1.14.19.21	cholesterol 7-desaturase
1.14.19.22	acyl-lipid omega-6 desaturase (cytochrome b5)
1.14.19.23	acyl-lipid (n+3)-(Z)-desaturase (ferredoxin)
1.14.19.24	acyl-CoA 11-(E)-desaturase
1.14.19.25	acyl-lipid omega-3 desaturase (cytochrome b5)
1.14.19.26	acyl-[acyl-carrier-protein] 6-desaturase
1.14.19.27	sn-2 palmitoyl-lipid 9-desaturase
1.14.19.28	sn-1 stearoyl-lipid 9-desaturase
1.14.19.29	sphingolipid 8-(E/Z)-desaturase
1.14.19.30	acyl-lipid (8-3)-desaturase
1.14.19.31	acyl-lipid (7-3)-desaturase
1.14.19.32	palmitoyl-CoA 14-(E/Z)-desaturase
1.14.19.33	Delta(12) acyl-lipid conjugase (11E,13E-forming)
1.14.19.34	acyl-lipid (9+3)-(E)-desaturase
1.14.19.35	sn-2 acyl-lipid omega-3 desaturase (ferredoxin)
1.14.19.36	sn-1 acyl-lipid omega-3 desaturase (ferredoxin)
1.14.19.37	acyl-CoA 5-desaturase
1.14.19.38	acyl-lipid Delta(6)-acetylenase
1.14.19.39	acyl-lipid Delta(12)-acetylenase
1.14.19.40	hex-5-enoyl-[acyl-carrier protein] acetylenase
1.14.19.41	sterol 22-desaturase
1.14.19.42	palmitoyl-[glycerolipid] 7-desaturase
1.14.19.43	palmitoyl-[glycerolipid] 3-(E)-desaturase
1.14.19.44	acyl-CoA (8-3)-desaturase
1.14.19.45	sn-1 oleoyl-lipid 12-desaturase
1.14.19.46	sn-1 linoleoyl-lipid 6-desaturase
1.14.19.47	acyl-lipid (9-3)-desaturase
1.14.19.48	tert-amyl alcohol desaturase
1.14.19.49	tetracycline 7-halogenase
1.14.19.50	noroxomaritidine synthase
1.14.19.51	(S)-corytuberine synthase
1.14.19.52	camalexin synthase
1.14.19.53	all-trans-retinol 3,4-desaturase
1.14.19.54	1,2-dehydroreticuline synthase
1.14.19.55	4-hydroxybenzoate brominase (decarboxylating)
1.14.19.56	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase
1.14.19.57	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] brominase
1.14.19.58	tryptophan 5-halogenase
1.14.19.59	tryptophan 6-halogenase
1.14.19.60	7-chloro-L-tryptophan 6-halogenase
1.14.19.61	dihydrorhizobitoxine desaturase
1.14.19.62	secologanin synthase
1.14.19.63	pseudobaptigenin synthase
1.14.19.64	(S)-stylopine synthase
1.14.19.65	(S)-cheilanthifoline synthase
1.14.19.66	berbamunine synthase
1.14.19.67	salutaridine synthase
1.14.19.68	(S)-canadine synthase
1.14.19.69	biflaviolin synthase
1.14.19.70	mycocyclosin synthase
1.14.19.71	fumitremorgin C synthase
1.14.19.72	(-)-pluviatolide synthase
1.14.19.73	(S)-nandinine synthase
1.14.19.74	(+)-piperitol/(+)-sesamin synthase
1.14.19.75	very-long-chain acyl-lipid omega-9 desaturase
1.14.19.76	flavone synthase II
1.14.19.77	plasmanylethanolamine desaturase
1.14.19.78	decanoyl-[acyl-carrier protein] acetylenase
1.14.19.79	3beta,22alpha-dihydroxysteroid 3-dehydrogenase
1.14.19.80	(19E)-geissoschizine oxidase
1.14.19.81	polyneuridine aldehyde synthase
1.14.19.n4	stearoyl-CoA 9-desaturase (NADPH)
1.14.19.n5	versicolorin B desaturase
1.14.20.1	deacetoxycephalosporin-C synthase
1.14.20.3	(5R)-carbapenem-3-carboxylate synthase
1.14.20.4	anthocyanidin synthase
1.14.20.5	flavone synthase I
1.14.20.6	flavonol synthase
1.14.20.7	2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming)
1.14.20.8	(-)-deoxypodophyllotoxin synthase
1.14.20.9	tyrosine isonitrile desaturase
1.14.20.10	tyrosine isonitrile desaturase/decarboxylase
1.14.20.11	3-[(Z)-2-isocyanoethenyl]-1H-indole synthase
1.14.20.12	3-[(E)-2-isocyanoethenyl]-1H-indole synthase
1.14.20.13	6beta-hydroxyhyoscyamine epoxidase
1.14.20.14	hapalindole-type alkaloid chlorinase
1.14.20.15	L-threonyl-[L-threonyl-carrier protein] 4-chlorinase
1.14.20.16	4alpha,5beta-5,20-epoxytax-11-ene-4,9-diol 9-dehydrogenase
1.14.99.1	prostaglandin-endoperoxide synthase
1.14.99.2	kynurenine 7,8-hydroxylase
1.14.99.4	progesterone monooxygenase
1.14.99.11	estradiol 6beta-monooxygenase
1.14.99.12	androst-4-ene-3,17-dione monooxygenase
1.14.99.14	progesterone 11alpha-monooxygenase
1.14.99.15	4-methoxybenzoate monooxygenase (O-demethylating)
1.14.99.20	phylloquinone monooxygenase (2,3-epoxidizing)
1.14.99.21	Latia-luciferin monooxygenase (demethylating)
1.14.99.22	ecdysone 20-monooxygenase
1.14.99.23	3-hydroxybenzoate 2-monooxygenase
1.14.99.24	steroid 9alpha-monooxygenase
1.14.99.26	2-hydroxypyridine 5-monooxygenase
1.14.99.29	deoxyhypusine monooxygenase
1.14.99.34	monoprenyl isoflavone epoxidase
1.14.99.35	thiophene-2-carbonyl-CoA monooxygenase
1.14.99.38	cholesterol 25-monooxygenase
1.14.99.39	ammonia monooxygenase
1.14.99.44	diapolycopene oxygenase
1.14.99.46	pyrimidine monooxygenase
1.14.99.47	(+)-larreatricin hydroxylase
1.14.99.48	heme oxygenase (staphylobilin-producing)
1.14.99.50	gamma-glutamyl hercynylcysteine S-oxide synthase
1.14.99.52	L-cysteinyl-L-histidinylsulfoxide synthase
1.14.99.53	lytic chitin monooxygenase
1.14.99.54	lytic cellulose monooxygenase (C1-hydroxylating)
1.14.99.55	lytic starch monooxygenase
1.14.99.56	lytic cellulose monooxygenase (C4-dehydrogenating)
1.14.99.57	heme oxygenase (mycobilin-producing)
1.14.99.58	heme oxygenase (biliverdin-IX-beta and delta-forming)
1.14.99.59	tryptamine 4-monooxygenase
1.14.99.60	3-demethoxyubiquinol 3-hydroxylase
1.14.99.61	cyclooctat-9-en-7-ol 5-monooxygenase
1.14.99.62	cyclooctatin synthase
1.14.99.63	beta-carotene 4-ketolase
1.14.99.64	zeaxanthin 4-ketolase
1.14.99.65	4-amino-L-phenylalanyl-[CmlP-peptidyl-carrier-protein] 3-hydroxylase
1.14.99.66	[histone-H3]-N(6),N(6)-dimethyl-L-lysine(4) FAD-dependent demethylase
1.14.99.67	alpha-N-dichloroacetyl-p-aminophenylserinol N-oxygenase
1.14.99.68	4-aminobenzoate N-oxygenase
1.14.99.69	tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase
1.14.99.n4	carotenoid 9,10-dioxygenase
1.15.1.1	superoxide dismutase
1.15.1.2	superoxide reductase
1.16.1.1	mercury(II) reductase
1.16.1.2	diferric-transferrin reductase
1.16.1.6	cyanocobalamin reductase
1.16.1.7	ferric-chelate reductase (NADH)
1.16.1.8	[methionine synthase] reductase
1.16.1.9	ferric-chelate reductase (NADPH)
1.16.1.10	ferric-chelate reductase [NAD(P)H]
1.16.3.1	ferroxidase
1.16.3.2	bacterial non-heme ferritin
1.16.3.3	manganese oxidase
1.16.3.4	cuproxidase
1.16.9.1	iron:rusticyanin reductase
1.16.99.1	[Co(II) methylated amine-specific corrinoid protein] reductase
1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase
1.17.1.3	leucoanthocyanidin reductase
1.17.1.4	xanthine dehydrogenase
1.17.1.5	nicotinate dehydrogenase
1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
1.17.1.9	formate dehydrogenase
1.17.1.10	formate dehydrogenase (NADP(+))
1.17.1.11	formate dehydrogenase (NAD(+), ferredoxin)
1.17.2.1	nicotinate dehydrogenase (cytochrome)
1.17.2.2	lupanine 17-hydroxylase (cytochrome c)
1.17.2.3	formate dehydrogenase (cytochrome c-553)
1.17.3.1	pteridine oxidase
1.17.3.2	xanthine oxidase
1.17.3.3	6-hydroxynicotinate dehydrogenase
1.17.3.4	juglone 3-hydroxylase
1.17.3.5	4-oxocyclohexanecarboxylate 2-dehydrogenase
1.17.4.1	ribonucleoside-diphosphate reductase
1.17.4.2	ribonucleoside-triphosphate reductase (thioredoxin)
1.17.4.4	vitamin-K-epoxide reductase (warfarin-sensitive)
1.17.4.5	vitamin-K-epoxide reductase (warfarin-insensitive)
1.17.5.1	phenylacetyl-CoA dehydrogenase
1.17.5.2	caffeine dehydrogenase
1.17.5.3	formate dehydrogenase-N
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
1.17.7.2	7-hydroxymethyl chlorophyll a reductase
1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
1.17.7.4	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
1.17.8.1	hydroxysqualene dehydroxylase
1.17.9.1	4-methylphenol dehydrogenase (hydroxylating)
1.17.9.2	(+)-pinoresinol hydroxylase
1.17.98.2	bacteriochlorophyllide c C-7(1)-hydroxylase
1.17.98.3	formate dehydrogenase (coenzyme F420)
1.17.98.4	formate dehydrogenase (acceptor)
1.17.99.2	ethylbenzene hydroxylase
1.17.99.3	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase
1.17.99.4	uracil/thymine dehydrogenase
1.17.99.6	epoxyqueuosine reductase
1.17.99.8	limonene dehydrogenase
1.17.99.9	heme a synthase
1.17.99.10	steroid C-25 hydroxylase
1.17.99.11	3-oxo-Delta(1)-steroid hydratase/dehydrogenase
1.18.1.1	rubredoxin--NAD(+) reductase
1.18.1.2	ferredoxin--NADP(+) reductase
1.18.1.3	ferredoxin--NAD(+) reductase
1.18.1.4	rubredoxin--NAD(P)(+) reductase
1.18.1.5	putidaredoxin--NAD(+) reductase
1.18.1.6	adrenodoxin-NADP(+) reductase
1.18.1.7	ferredoxin--NAD(P)(+) reductase (naphthalene dioxygenase ferredoxin-specific)
1.18.6.1	nitrogenase
1.18.6.2	vanadium-dependent nitrogenase
1.19.1.1	flavodoxin--NADP(+) reductase
1.19.6.1	nitrogenase (flavodoxin)
1.20.1.1	phosphonate dehydrogenase
1.20.2.1	arsenate reductase (cytochrome c)
1.20.4.1	arsenate reductase (glutathione/glutaredoxin)
1.20.4.2	methylarsonate reductase
1.20.4.3	mycoredoxin
1.20.4.4	arsenate reductase (thioredoxin)
1.20.9.1	arsenate reductase (azurin)
1.20.99.1	arsenate reductase (donor)
1.21.1.1	iodotyrosine deiodinase
1.21.1.2	2,4-dichlorobenzoyl-CoA reductase
1.21.3.1	isopenicillin-N synthase
1.21.3.2	columbamine oxidase
1.21.3.3	reticuline oxidase
1.21.3.4	sulochrin oxidase [(+)-bisdechlorogeodin-forming]
1.21.3.5	sulochrin oxidase [(-)-bisdechlorogeodin-forming]
1.21.3.6	aureusidin synthase
1.21.3.7	tetrahydrocannabinolic acid synthase
1.21.3.8	cannabidiolic acid synthase
1.21.3.10	hercynylcysteine S-oxide synthase
1.21.3.11	precondylocarpine acetate synthase
1.21.4.1	D-proline reductase
1.21.4.2	glycine reductase
1.21.4.3	sarcosine reductase
