# $Id$
version  2 # of file format

# three-letter-prefix protein accessions (traditionally with five digits)
3+5  AAE  gb_patent_prot
: 61 70
: 4003 9 11 8 20 34 9 41 5 8 65-6 9 71 3 5 81 90 102 4 7 10 3 6 28 30 4 6 8 41
: 6 51 4 6 62 70 2 81 6 8 91 3 7 212 5 20 2 8 30 3 5 8 41 3 9 59 61 7 70 3 5 83
: 5 9 91 4 7 300 2 5 7-8 10 3 7 20 4 9 35 51 3 64 6 75 7 82 92 5 8 400 2 6 23 6
: 8 31 46 9 52-3 6 61 7 9 72 7 80 4 8 93 5 503 15 8 26 9-30 3 7-8 42 6 9 51 4 7
: 9 61 70 2 5 8 81 3 6 92 5 7 9 601 14 7 20 2 4 44 52 6 8 61 9 71 4 9 82 8 96
: 709 13 5 8 21 4 6 9 33 6 41 4 6 8 50 6 62 72 4 9 86 93 805 9 11 4 22 6 31 4
: 42 4 51 5 8 60 2 4 6 72 4-5 7 98 900 10 6 8 21 7 32 44 50 2 4 9 61 8 79-80 2
: 5 94 8
: 5001-2 10 9 26 31 3 8 41 3 5 7 54 7 69 71 83 5 9 96 102 5 8 10 2 7-8 23 7 37
: 9 46 61 3 5 79 81 9 94 210 3 20 4 6 8 31 8 41 3 7 54 60 5 8 79 87 9 93 6 8
: 302 5 8 12 20 6 9 36 9 42 5 55-6 61 5 8 70 3 5 81 4 9 91 404 8 12 4 9 27 30 7
: 9 46 9 54 8 61 3 6 71 7 83 5 7 500 4 9 11 3 5 7 20 3 6 31 4 6 8 48 59 68 70 9
: 86 91 3-4 8 602 4 12 4 6 8 21 3 7 9 36 8 41 4 6-8 51-2 5-6 60 2 4 7 71-2 4
: 6-7 80 2 5 7 9-91 7 701 5 9 11 3 8 26-7 34 7 40 3 5-6 9 55 63 9 76 84 7 93 5
: 800 4 18 27 30 2 7 41 3 6 8 50 3 5 7 63 5 71 4 6 83 5 7 97 9 903 7 21 3-4 6
: 34 43 55 7 61 4 6 70 4 6 82 4 9 92
: 6000 23 5 34 7 45 7-8 55 8 65 8-9 74 6-7 9 92-3 6 8 100 3 5 9 13 7 9 25 9 31
: 3 6 40 5 8 51 3 6 9 64 9 71 4 6 9 82 4 7 93 7 200 4 7 9 19-20 3 9 34 7-8 40 2
: 5 8 56 8 61-2 4 6-7 9 71 6 86 9 92-3 5 7 303 12 4 8 20 2 5 31 5 7 9 41 3 5 8
: 57 63 5 8 71 5 7 9 81 4 7 90 2 6 9 401 5 10 7 23 31 3 7 9 43 8 51 3 63 5 7 70
: 6 86 93 501 29 36 41 57 60 3 71 80 7-8 90 3 6 600 4 10 3 5 7 25 9 33 5 9 42
: 58 71 4 80 3 5 91 3 6 704 17 9 22 32 7 42 7 54 60 7 73 9 91 4-5 801 8-10 2 5
: 7 9 23 32 4 6 40 4 7 9 56 61 3 5 8 71 4 6 8 81 4 7 9-90 907 12 5 23 31 4 47
: 50 3 6 9 61 6 8 73 6 9 81 7 9 96
: 7000 3 6 8 12 5 21 4 6 8 30 2 4 40 7 52 60-1 3 8 70 2 4 9 81 3 5 9 99 102 4 7
: 10 2-3 5 8 24 7 9-31 5 9 42 50-1 4-5 9 62 7 9 74 7 84-5 7 90 3 7 201 4 11 7
: 21 4 7-31 6 8 46 9 52-4 7 61-2 6 9 73 6-7 83-4 91 4 7 300 4 14 6 21-2 32 7 9
: 41-2 4-6 9 51 8 61 3 5 70 3 5-7 82 4 9 406 8 11 3 21 5 9 37 42 7 55 7 9 63 5
: 9 74 7 9 82 5 7 93 502 5-6 25 7 30 2 4 40 6 55 7 9 62 4 6 8 70 2 4-5 8 81 3 7
: 92 5 603 6 9 13 7-8 20 4 31 3 5 7 9 45 53 8 60 4 9 75-6 8 82 5 8 93-4 8 702 4
: 7 10 2-3 5 21 3 6 8 35 8 40 8 51 3 8 61 4 7 71-2 4-7 84 9-90 4 7 800 2 4 8 11
: 3 8 22 7 9 34 6 9 49-50 6 61 8-70 2 4 6 80 3 8 91 3 5 8 900 4 10 8 21 4 8
: 31-2 5 40 6 50 6 9 62 5 8 73 6 8 81 3 6 93
: 8002 9 11 4-5 7 9 23 5 7 9 32 4 7 40 3 5 7 50 2 5 60 4 8 73-4 6 9 81 3 7 9 97
: 103 6 9 11 5 25 8 37 40 3 8 50 2 65 8 70 2 4 6 9 82 4 6 8 91 5 8 204 6 9 11 4
: 9 23 5-6 8 30 5 41 4 6 9 51 6 61 4 6 70 6 9 81 4 91-2 4 6 9 301 3 6 9 11 6 8
: 28 30 3 8 42 4 6 52 5 7-8 60 5 9 74 6-7 80 5 91 3 9 405 8 10 2 21 4 8 35 7 40
: 2 4 6 51 4 62 5 82 5 95 8-9 516 24 31 4 6 8 43 8 55 7 68 79 82 4 6 607 9 12
: 20-1 4 30 41 4 52 7 66 9 74 88 91 6 8 701 9 11 7 9 23 5 7 47 50 4 61 5 7 9 72
: 5 9 83 9 91 4 6 9 806 8 10 3 7 9 22 7 9 31 9 41 3 5 7 52 6 8 63 6 9 76 81 4
: 91 7 900 2 4 8 11 3 8 20 2 8 30 2 9 41 50 2 4 6 62 5 8 71 3 5 7 81 3 6 91 3 5
: 7
: 9001 4 8 10 2 5 8 21 3 6 37 9 41 4 56 62 4 70 3 7 83 5 7 90 107 11 3 6 9 21 5
: 7 37 41 3 5 8 50 3 7 60 3 5 70 4 7 9 82 90 5 8 204 11 5 7 9 25 40 4 56 8 61 5
: 74 7 82 9 92 7 302-3 6 8 12 4 29 31 7-8 42 7 9 54 7 9 61 5 8 70 8 94 8 400 2
: 5 10 20 2 5 32 4 8 44 6 51 63 7 71 5 82 5 9 93 6 9 503 5 7 10 2 5 8 20 3 7 30
: 5 40 5 9 51 8 61 3 5 9 79 83 6 9 94 7 602 4 8 13 20 3 9 32 40 2 6 8 51 4 7-8
: 60 3 6 8 74-5 80-1 8 95 700 2 4 7 12 4 7 9 22 9 36 8 41 4 6-8 51 3 5 7 9 64 6
: 72 7 82 5 7 91 7 802 4 7 10 7 20 9 31 6 9 42 8 54 7 9 61 3 7 70 2 5 7 87 92 8
: 900 5 7 9 12 21 3 8 34 7 40 2 4 7 9 51 4 7 60-1 3-5 8-9 74-5 83-4 7 90 4 6 8
: 10001 3 6 13 5 8 20 3 5 35 7 40 6 9 51 7 61 3 70 5 8 80 91 4 8 101 3 10-1 8-9
: 24 9 31 3-4 8 40 2-3 5 9-50 2 5 7 62 4 73 7 82 6 8 93 5 200 2 5 7-8 10 2 4 6
: 9 22 6 9 31 3 40 2 5 8 51 9 63 82 4 6 92 7 9 302 5 9 13 5 7 22 4 32 5 42 6 8
: 53-4 6 9-60 2 4 6 9-70 4 81 3 8 97 400 3 8-9 11 4 8 21 3 9 31 4 7 40 2 4-8
: 50-1 5-7 9-60 2-3 9 75 7-81 3-91 4-9 501 3-4 6-8 10 4 6-7 9 21 7-9 32 4 6 8
: 40 3 6 8 50 6 8 60 4 74 8 84 7 92 4 6 8 602 4 7 9 11 22 4-5 30 3 5 8 40 3 53
: 6 8 66 8 70 2 5 86 94 7-8 701 4 9 11 4 7 30 5 9 41 3 5 7 53 6 8 63 6 74 8 81
: 3 90 2 6 803 8 12 5 20 5 9 31 4 6 8 40 5 52 5 7 65 7 71 5 8 80 5 7 9 95 901 4
: 7 12 4 7 22 5 30 4 9 42 5 7 9 51 6 9 61 4 7-8 70 2 8 87 90 7 9
: 1002 11 4 7 21 4 32 4 8 40 5 8 51 5 8 61 4 7 71 7 9 81 7 9 92 7 9 103 5 12 5
: 20 2 5 8 32 5 7 40 3 51 5 8 60 2 6 73 85 8 91 5 8 200 6 9 14 7 26 8 31 3 9 42
: 6 52 6 9 63 5 9 72 4 80 2 6 9 95 308 12 5 7 24 9 36 42 4-5 52 5 7 60-1 3 5 8
: 72 4 9-80 3 6-7 90 3 6 405 7-8 15 8 21 8-9 32 6 8 44 52 5 8 61 7 70 6 8 88 93
: 6 9 504 7 12 5 8 21 35 9 42 5 8 50 4 9 62 7 72 4 9 81 4 8 90 2 5 9 601 6-7 14
: 6 9 21 4 9 31 6 42 4 8 50 2 4 6 60 2 7 9 76 8 81 6 9 91 9 702 5 7 9-10 2 5 7
: 20-1 5 30 5 40 2-3 6 52-3 5 8 62 4 70 3 5 84 7 92 4 804 7 9 26 9 33 6 9 43 8
: 51 5 64 6 72 6 85 7 9 92 8 905 9 16 8 27 30 3 8 42 9 51 9 66 8 71 6 9 82 93
: 5-7
: 2002 8 12 5 7 21 5 7 9 32-3 6 41 5 50 2 6 60 4 6 9 79 82 90 4 7 106 9 21 30 6
: 8 45 53 5 60 9 73 82 4 6 8 98 205 8 16 9 22 4 7 30 3 6 40 3 9 58 66 70 6 9 82
: 4 6 90 300 6 18 20 5 7 30 2 4 7 41 3 6 52 4 6 8 61 7 75 7 80 3 5 7 91 406 11
: 4 6 21 6 8 31 4 40 3 6 9 52 5 7-8 63 7 70 3 81 3 6 9 95 7 504 6 14 8 26 30 2
: 5 9 50 3 7 9 64 7 9 75 8 80 2 7 92 6 9 601 4 9-10 3 6 9 24 30 8 40 4 8 53 7
: 60 3 6 9 71 5 8 80 3 9 99 701 4 6 8 11 4 7 20 3 8 30 3 6-7 49 52 4 60 2-3 5
: 7-8 74 80 3 5 8 90-1 3-7 803-4 8-10 2-3 6 8 26 9 31 4 6-7 45 8 51-2 9 61 3 5
: 7 70-1 5 7 80 2 94-5 8 901 4-5 7 9 13 6 20 2 4 8 34 6 8 40 5 7 50 2 5 8 60 5
: 8 74 6-7 80 3 5 8 96 8
: 3002 6 8 14 6-7 9 29 32 4 9 41-2 4-5 50 3 5 62 4 6 70 8 80-1 8-9 92 5 7 9 101
: 4 6 11 5 8-9 24 6 8 31 3-4 6 41 4 7 9 52 4-5 62 4 70 2 9 81 5 7 91 3 200 5 9
: 12 5 8 21-2 4 36 45 7 51 3 6 62 6 70 3 5 8 80 5 96 303 6 9 13 5 25 9 32 7 48
: 50 3 5 8 60 3 6 73 5 7 80 2 4 6 92 5 7 9 401 3 9 12 8 25 30 3 5 8 41 4 8-9 52
: 4 61 3 7 70 2 8 80 3 6 8 91 3 500-1 4-5 7 11 4 9 21 3 6 31-4 6 40 3 6 8 51 3
: 6 8 60 70 3-4 6 82 4 6 92 4 9 604 7 9-10 3 25 7 33 7 42 5 7 50 5 7 60 2 5 8
: 73 5 8 81 4 6 9 96 9 703-4 6 9 13 6 8 21 3 6 9-30 6 40 5 8 51 3 6 69 72 6 8
: 83 6 90 3 800 2 5 8 12 5 20 2 5 9 33 6 8 40 2 5 7 50 6 9 62 5 7 72 5 8 80 2
: 4-5 9-90 3 6-8 900 3 7 13 7 20 2 7 9 32 6 43 5 50 5 7 9 61 4 7 9 71 4 7 81 3
: 90 3 6 8
: 4003 13 5 7 24 7 34 8 43 5 7 9 51 61 4 77 9 82 6 9 95 9 104 12 4 6 21 9 32 8
: 40 2 5 7 50 3 5 7 61 4 9 71 5 7 80 2 5 90 6 201 4 7 14 6 8 22 4 6 9 34 7-8
: 40-1 3 6 51 3 8 61 4 6 72 4 7 9 81 3 6 8 90 5 7 9 301 4 6 8 12 9 21 3 9 33 6
: 46 54 6 8 63 70 2-3 5 7 83 6 90 2 5 7 401 11 3 5 7 25 31 4 42 5 7 9 52 6-7 62
: 9 72 5 9 84 8 90 3 9 501 4 10 20-1 9 32 5 46 52 4 7 62 7 75 92-3 5 7 605 8 10
: 3 6 9 24 34 7 43 5 8 53 5 7 9-60 4 70 81 91 4 8 702 4 7 10-1 4 20 2 6 8 33 8
: 43 53 6 8 60 5 7 71 3 7 80 5 94-5 9 802-3 13 5 8 21 6 9 31 3 6 43 6 51 8 61 4
: 8 70 5 83 6 95 7 903 6-7 9 12 4 7 23 6 31 4 9 43 5 51 63 5 73 5 7 81 3 9 91 4
: 6 8
: 5000 4 10 8 32 6 40 5 7 9 51 4 63 78 81 6 9 91 5 9 102 5 14 6-7 9 21 3 7 31 7
: 40 2 8 51 4 6 65 8 70 2 6 83 6 9 91 3 202 4 8 10 3 5 34 6 41 4 6 9 51 6 62 4
: 8 71 4 7 9 82 6 9 91 3 5 301 3 5 13 7 9 21 5 31 4 44 7 50 2-3 6 9 64 7 70 2
: 96 9 401 4 8 11 4-5 8 20 2 6 34 7 42 5-6 51 67 70 2 5 81 4 9 92 7 9 507 11 5
: 7 9 22 5 8 33 5 8-9 41 3-4 7 9 53 7 9 62 9 73 7 83 90 2 5 600 3-4 7 10 3 21 4
: 30 6 43 50 9 62 5 70 2 5 7 9-80 6 9 92 7 701 6 11 4-5 8 21 4 8 31 5 7 40 2 4
: 6 55 62-3 5 71 5 9 84 7 97 805-6 10 5 8 27 30 3 6 8 43 6 9 52 4 7 65 7 9 72 6
: 80 9 92 7 900 5 7 11 3 5 22-3 34 9 47 9 57 60 7 71 3 6 9 89 92 5
: 6000 3 10-1 3 5 8 21 7-8 31 47 9 52 4 7 62 5 8 71 4 6 9 83 5 8 91 3 6 100 2 7
: 9 14-5 24 7 32 8 40 2 6 52 7 62 6 74 7 9 81 6 8 91 3 8 200 4 7 9 13-4 21 6 34
: 40 6 52 60 2 7 74 6 8 81 5 7 90 7 302 19 21 4 31 9 42 52 4 8 60 4 6 9 73 80 4
: 6 92 5 403 5 12 6-7 24 6 9 32 5 7 43 5 50 2 61 4 6 71 4 6 8 86 94 6 504 11 5
: 7 22 31 5 7 46 56 60 3 9 71 4 7 83 5 8 91 5 605 7 10 5 7 24 7 9 31-2 5 7 41 9
: 54-5 67 70 6 81 4 7 93 6 8 701 4 11 4 28 31 5 40 3 6 51 4 7 9 63 6 9 72 5 83
: 5 92 4 8 807 10 2 5 7 20 4 7 9 33 9-40 2 6 8 51-2 60 3 6 71 5 9 83 91 901 3 6
: 10 3 9 27 38 41 3 9 54 8 61 4 7 9 74 9 82 8 91 6 9
: 7002 4 7 9 13 6 22 7 30 4 7 48 52 4 7 9 62 4 7 70 3 6 9 82 4 94 9 102 5-6
: 9-10 3 6 8 20 8 39 50 2 6 64 9 71 3 7 82 8 90 2 8 203 9 13 23 6 32-3 9 45 55
: 7 60 5 75 7 9 81 6-7 9 92 6 300 8 13 6-7 22 5 7 9-30 2 5 7 40 4 7 51 5 8 61 3
: 9 72 4 83 8 93 402 11 7 26 9 32 4 42 4 6 8 50 6 61 4 9 71 4 6-8 81 5 7 92 5
: 501 3 9 11 5 20 5 7 9 32 4 6 9-40 5 7 50 6 60 5 75 8 80 3 6 8 90 2 5 8 603 8
: 16 8 24 6 8 31 4 6 9 41 3 50 60 70 7 80 2 6 9 92 4 6 9 703 6 10 22 4 35 9 45
: 8 57 69 75 86 9-90 3 6 804 6 9 13 5 8 24 7 31 3 8 41-2 55 9 63 8 75 7-8 80 2
: 5 7 9 91 3-4 8 905 8 10 2 6 8 21 3 5 7 9 33 5 7-8 42-3 6 8 55 8 60 71 3 5 8
: 84 7 90 2 9
: 8002 11 5 7 9 22 5 8 36 9 42 7 51 3 5-6 9 63 6 8 71 5 81 7 9 93 7 102 4 8 11
: 3 6 20 3 5 7 9-30 3 45 7 9 52 4 6 8 60 3 5 71 3 5 8 80 6 8 90 3 7 202 12 4 7
: 9 21 4 7-8 31 4 6 9 41 4 6 50 2 5 8 62 4 70 2 5 8 82 4 7 90-1 4 305 9 12 5 7
: 20 3 30 2 5 7 46 9 51 5 7 60 5 76 8 80 2 5 8 400 5 15 7 20 6 36 8 40 2 52 7 9
: 61 4 6 71 3 6 8 81 6 8 97 505 10 2 4 8 20 3 7 30 3 6 41 4 7 52 5-7 62 5 7 9
: 74 6 8 89 93 600 5 7 10-1 4 6 33 7 9 48 51 4 6 9 63 5 70 9 82 90 2 7 702-3 8
: 11 8 21 4 32 6 9 41 8 56 8 61 70 3 8 80 8 93 7 802 5 7 9 12 6 8 21 4 6 9 33
: 43 5 53 5 7 9 62 4 9 71 3 5 7 80 4 94-5 904-5 12 21 4 8 37 9 42 6 8 52 6 8 61
: 9 71 4 7 81 3 92 5 7
: 9000 4 8 10 3 6 9 24 6 34 7 9 41 4 7 9 58 67 70 3 5 9 81 3 90 2-3 9 104 12 5
: 7 21 3 9 31 3 41 6 54 7 63 5 8 71-2 7 9 82 4 7 9 91 5 8 204 7 9 11 5 21 6 31
: 41 3 7-8 54 61 4 7 9 71 4 7 80 2 4 6-8 92 4 9 303 8 10 3 5 21 3 6 33 6 46 52
: 68 74 6 8 93 7 408 12 4 7 9 21 7 32 4 6 8 44 50-1 7 9 62-3 5 70 2 4 6 8 80-1
: 5-6 95 8 501 8 13 8 38 51 4 7 62 5 7 70 5 81 5 8 91 4 7 600 8 13 7 23 34 6 9
: 41 3 6 56 8 81 5 8 94 701 3 6 9 15 8 28 34 8 40 3 6 51 3 5 9 63 7 70 2 5 80 5
: 8 92 4 7 9 802 4 7 10 2 5 7 20 4 7 32 8 43 6 50 5 70 7 81 4 911 5 9 21 6 9 32
: 4 40 9 52 4 6 60 3 8 80 95 8
: 20000 5 7 11 4 9 25 7 9 36 40 59 76 80 8 90 3 5 8 110 26 8-9 32 4 7 40 2 7 51
: 68 72 5 8 80 3 5 9 97 203 6 9 12 25 8 30 40 6 9 53 6 9 65 74 7 85 8 91 3 5
: 306 8 10 3 6 8 20 9 37 9 48 51 4 7 64 8 72 81 4 8 98 401 3 9 11 5 7 9 23 5 32
: 4 43 5 7 60 2 5 72 4 85 8 96 9 502 4-5 8 11 5 22 4 31 7 43 9 57 9 62 4 6 8 71
: 3 5 9 82 5 8 91 9-600 2 4-5 7 14 9 21-2 5-6 30 3 5 8 40 3 8 51 4 6 70-2 4 8
: 83 6-7 90 2 4 700 4 6 13-4 6 8 25 7-8 31 6 8 41 6 69 71 6 9 85 92 9 808 11 8
: 22 5-6 9 32 5-6 8 41 4 6 52 7 68 78 80 91 5 7-8 900 2 6 9 19 22 4 7 30 5 42 5
: 8 50 2 4 7 65 7 75 7 9 86 8 90 3 5
: 1000 3 5 8 11 5 9 22 5 7 30 5 8 41 4 6 50 2 4 6 8 62 4 71 3 5 80 3 5 8 90 4 7
: 100 5 7 13 6 9 27 32 6 40 2 7 51 3 6 8 60 2 6 75 7 9 85 8 92 5-6 9 204 11 6
: 25 7 41 4 6 9 54 7 9 65 7 71 3 9-80 2 4 9 94 301 3 6 8 12 5 8 24 9 32 8 40 3
: 5 9 52 4 7 63 6 9 72 7 9 84 93 5 8 400 7 20 4 6 8 32 40 2 50 4 7 66 72 5 85 7
: 9 92 6 9 504 6 10 2 5 7 20 2 8 30 5 7 40 2-3 6 50 5 9 62 5 8 75 7 80 2 5 7 94
: 7 602 5 11 4 21 30 5 42 4 6 9 51 3 5 7 60 8-9 71 3 5 9 81 5 7 92-3 6 9-700 3
: 9 11 3 5 9 22 4-5 30 3 8 40 3 5 8 50 2 5 60 2 70 3 5 7-8 83 5 91 4 7 9 801 5
: 7 9 12 6 8 21 5 8-9 32 5 8 40 4 50 9 63 7 71 9 81 8-9 91 900-1 4 6 15 8 22 7
: 38 40 2 6 9 54 6 60 4 71 9 81 90 7
: 2000 3 5 9 12 21 6 31 44 62 9 79 82 4 6 9 92 4 6 8 104 11 3 26 8 33 6 8 42 50
: 3 6 9 62 7 9 71 7 86 9 91-2 200 2 6 10 20 6 32 41 6 8 54 8 65 8 73 6 85 7 9
: 96 9 301 4 7 10 5 21 3 7 33 5 42 5 8-9 52 60 6 71 3 7 80 2 5 8 92 8-9 401 5 8
: 11 5 22 7 9 32 4 6 43 7 9 55 8 60 5 9 72 4 7 80 91 4 6 8 500 6 8 11-2 7 9 23
: 6-7 9 31 3 9 41 3 5 7 9 53 5 8 61 3 9 71 7 9 81 95 7 606 9 12 5 27 9 32 4 6
: 40 2 4 50 2 4 64 7 9 76 8 81 3 94 7 9 702 4 7 11 5 20 3 7 9 31 6 45 8 54 68
: 75 81 9 93 5 7 800 5 13 8 20 3 7 34 7 9 51 6 8 65 8 72 4 83 6 8 93 5 7 902 5
: 8 10 3 5 7 9 21 4 7 41 4 6 9 52 5-6 62 7 9 74-5 7 80 2 7 91 3 6 9
: 3004-5 20 3 30 8 42 4 6 9-50 2 7 60 3 73 6 9 84 6 9 93 6 8 103 8 10 4 7 32 4
: 42 4 9-50 60 7 9 77-8 82 4 8 91 3-4 6 8 203 5 7 9 14 6 9 21 3 8-30 2 5 44 6
: 50 3 6 8 60 3 6 71 5 80 7 9 91 4 6 306 8 18 20 4 8-9 40 3-4 9 54 8-9 61-2 6 8
: 70 2 4 84 6 9 93 5 9-400 3 8 10 6 21 4 39-40 7 50 2 4 8 60 6 72 4 9 82-3 7 9
: 94 8 503 10 6 8 20 3 6 31-2 4 42 6 9 53 9 62 5 8 70 2 7 9 81 3 5-6 8 90 4 7 9
: 601-2 6-7 12 4 6 9 29-30 2 8 40 2 4 64 7-8 73 5 7 80 5 91 8 701 3 7 10 2 6-7
: 20 2 5-6 9 31 4 7 9-40 3 6 9 51 3 6 62-3 71 6 8 83-4 8 94-5 801-2 15 7 20-3 9
: 33 9 46 9 54 6 8 64 74 7 80 2 6 8 92 8 901 4 7 9 11 4 9 21 4 6 9 34 44 6 8 50
: 3 6 9 61 7 9 80 3 91 4 6
: 4001 4-5 7 10 4 7 9 22 4 35 40-1 7 9 53 7 61 3 6 71 8 82 5 9 93 106 20 4 8
: 32-5 7-44 6-8 50-6 8-9 63-4 6-7 9-71 3-4 6-82 4-5 7 9-90 2-3 6-7 9-202 4 6
: 8-16 8-9 22-8 31 3-6 9 41-5 8-52 4 6 9-61 4-8 70-1 3-5 9 82-5 7 9 91 3 5-8
: 301-3 5-6 10 2-7 21-3 5-30 3 5 7-8 40 4 6-52 5 8-62 5-8 74-80 3-91 3 5 8-9
: 401-10 2-7 9-25 7-8 31-2 4-7 40 2 4-6 9-53 5-6 8-9 61 4-5 7-8 70 4-82 4 6-7
: 90 2 4-5 500 2-6 8 11 4 7-20 3-4 7-32 4 6 40-5 7-50 5 7-8 62-5 7-72 4-8 80
: 2-3 5-8 90-2 5 7-9 601 4 7-10 4-21 3 5 7-8 30-7 40-2 5-6 51-4 6 8-62 4-9 71-6
: 8-80 9 91-3 5-9 701-2 4 6 8 10 2-4 6-7 9-20 2-35 7-46 8 50 2-3 5-7 60 5 9-71
: 5 9-84 6 92-4 6-804 6-7 9-11 4 7 9-20 3-4 6-33 5-9 41 3-51 4-64 8 70-3 6-8 80
: 2-4 8-91 3-6 8 901-3 5-8 10-5 8-20 3 5-6 9 31 3-4 6-9 41 4-51 4-7 9-60 5-7
: 9-71 3 7 9-86 9-94 6-8
: 5000 2-5 7-11 3 5 7-25 9-30 2-3 8 40-2 4-50 3-69 71-7 81 3 5-91 4-6 8-100 3-4
: 6 8-10 2-3 7-9 21-6 8-30 3-44 7-8 51 5-6 8 60-3 5 70-5 7 9-81 3-4 6-8 90-2 5
: 8-9 201 3-4 6-7 9-12 6-20 2 4-5 37 9-41 3 5-50 2 4-7 60 2-9 72 80 3-6 8 91 3
: 5-7 9-300 2-11 9 21 6-9 34 6-7 9 45 7-50 3 6 8-9 62-7 9 72 5-6 9 82-91 4
: 8-401 3-6 9-14 8 20 3 5-6 8-33 8-41 3-4 6-7 9-51 3-4 6-60 3 7-70 2-3 6 8-82
: 5-95 7 9 502-7 11-4 8-21 3-5 8-30 2-9 41-57 61 4-5 70 2-3 5 7-80 2 5-93 9 601
: 3-4 6-7 9 12-5 7-8 25-6 8-9 32-4 6 8 40-2 4 6 8 53-4 8 61-4 8-75 7 9-80 2-6 8
: 90-2 5-8 701 4 7-9 11 3-5 7 20-4 7 9-30 2 6-48 51-3 5 9-63 5 7-9 75 82-7 9-90
: 2-4 8-9 802-6 10-20 2 4-6 8-9 31 3-40 3-5 9 51 4 6 8 60-2 5-7 9 72 5 8-80 3-6
: 91 4 6-7 906-7 11-6 8-21 3-6 8-9 31-2 4-7 40-3 5-51 4-7 60-71 4-5 81 5-6 8-90
: 2-3 5
: 6000 3-8 11 3-4 6-25 7 33 6-7 9 41 4 6-51 7 60-8 73 5 7-80 3-9 91-5 7-100 2-3
: 6 8-10 2 4 6-22 4-5 9-35 7-8 40-3 5-7 52-5 7 60 2 7 9-70 2-9 81-6 9 95-6
: 9-203 6-11 3 5-7 9-20 2-6 9 31-4 7 40 2-9 51-5 8-60 2-5 7 9-72 5 7-8 80-1 5 7
: 9 91-6 8-9 305-6 12 4-29 31-3 5-8 40 2-3 5 8-9 51-4 7-60 2 4 8-9 75 8-81 3-5
: 7 9 92-5 7 9-407 9-11 3-4 6-8 20-1 3-4 6-8 30 2-3 5 7 9-46 8 50-5 7-67 9 71-4
: 6-8 87-91 3-4 6-500 2 4 7 10 3 5 8-33 6-9 41 3-5 9-54 6-66 9-70 2 5 7-81 3 5
: 7-95 7-603 5 7-17 9-23 5-30 2-44 7-8 50-7 61-5 8-9 72-7 80 2-5 7 90-2 5-702 4
: 6-7 9-22 4-8 30-1 3-6 40-2 5-7 9 53-4 8 61-2 6 8-72 4 7-80 3-4 6 8-91 3-4
: 9-802 4-5 7-9 11-6 8-9 21-4 6-8 31-5 7 9 41-2 4 6-57 60-2 4 7 9-75 7 9 81-4
: 6-8 90-3 6 8 900-1 3-13 5-21 3-30 2-6 40 2-4 7-8 51 3-8 61-9 72 5 7-81 3-6 8
: 91-7
: 7000-3 5-11 3-23 5-9 31-4 7-8 40-7 9-55 7 9-60 2-6 8-72 4-81 3-92 4-100 4 7-9
: 11 3-21 3 6 8-9 31 3 5-6 8 40-3 5-57 9-73 6-82 6-7 9-93 5-7 9-213 7 9-24 6-30
: 4-8 41-53 6-9 61-4 6-7 71 3 5-8 80-2 4 6 90 4 6 9-302 5-8 10 2 5-6 8-9 21-4
: 6-7 32 5 7-9 41-3 7-9 51-3 5 7-65 9-72 8-9 82-3 6 9 91-5 9 401-4 6-9 11-9 22
: 4 6-31 3-8 41 5-9 51-2 4-5 7 9 61 5-6 8 70-2 4 7 9-81 3-6 8-9 92-3 6-8 500-4
: 6-12 5-7 9-26 9-31 3-8 40-1 3-7 9-52 4-5 7-8 61 3-5 7-8 70 2-81 3-5 9 92 4
: 6-7 9-603 5 7-11 3-4 6-24 6-32 4-7 9 42-6 8-53 6-7 9 61 3 6-70 2-3 5-95 7-703
: 5-12 5 7-21 5 8-30 3-5 8-40 2-6 53-8 60 3-7 9-70 2-8 80-3 8-91 5-6 8 802-3 6
: 8 10-1 3 9-20 4 6-8 31-3 5 9-44 6 8 50-1 3-7 9 64-5 70 6-9 81 3-6 9 91 3-5 7
: 9 902-6 9-11 3-5 7-9 21 4-7 9-30 3 5 7 41 4-7 50-61 6 8-9 73-4 6-80 3 6 9-90
: 2-3 5-8
: 8000-1 3-11 4-6 8-9 23 8-32 6-40 3-6 8 51-3 5 8-66 8-72 4-8 81 3-5 8-9 91 3
: 5-101 3-5 7 10-1 3-5 7-22 4 6-8 30-2 4-9 42 4-5 7-9 52 5-7 9-67 9-71 3-7 9-82
: 7 90 2-4 6-7 9-200 2 5-6 8 10-3 6-9 21 3 36-7 41-3 5 7-8 50-1 3-4 6 8 60 5
: 8-9 71-5 7-80 2 4-90 2-7 9-300 4-6 12-6 8 22-3 5 30-2 4 6-7 9-42 6 8-50 2-4 7
: 9-65 8 70-4 6-7 81-4 7-8 90 2-5 7-402 4-8 10-4 6 20-2 4 6 30-1 5-9 42-4 8-9
: 51-6 8-62 9 71-2 4 6-80 2-94 7-9 502 4 7-13 5-23 6-32 4-7 40 2-4 8-51 4 6-63
: 7-8 70-1 4 6-80 2-5 8 94-7 9-600 3 5-6 8-14 6-9 21-9 32-3 7-45 7-50 2 4-7 61
: 3-4 7 9-72 7 9-82 4-91 4-6 700-1 3-4 7-8 11-2 5 7 9-22 4 7 9-30 3 5-6 9-42
: 5-8 50-2 4 8-60 4-74 6 80-92 4-6 9 801-9 14-5 7 9-21 3-4 7-30 3-6 8 40 2-3
